I,A,B,trace,determinant,string_of_classification,stable
0.7599999904632568,0.04439999908208847,0.9857000112533569,-2.633039951324463,1.6940070390701294,stable node sink,True
0.7699999809265137,0.04540000110864639,0.9857000112533569,-2.6127171516418457,1.6629809141159058,stable node sink,True
0.7799999713897705,0.046300001442432404,0.9857000112533569,-2.5948362350463867,1.6356602907180786,stable node sink,True
0.7900000214576721,0.04729999974370003,0.9857000112533569,-2.5753064155578613,1.6057971715927124,stable node sink,True
0.800000011920929,0.04830000177025795,0.9857000112533569,-2.5561776161193848,1.5765222311019897,stable node sink,True
0.81,0.049300000071525574,0.9857000112533569,-2.5374412536621094,1.5478225946426392,stable node sink,True
0.8199999928474426,0.0502999983727932,0.9857000112533569,-2.519087314605713,1.519683837890625,stable node sink,True
0.8299999833106995,0.05130000039935112,0.9857000112533569,-2.501105546951294,1.4920918941497803,stable node sink,True
0.8399999737739563,0.052400000393390656,0.9857000112533569,-2.481696367263794,1.4622818231582642,stable node sink,True
0.8500000238418579,0.05339999869465828,0.9857000112533569,-2.4644672870635986,1.4357942342758179,stable node sink,True
0.8600000143051147,0.054499998688697815,0.98580002784729,-2.446892499923706,1.408202052116394,stable node sink,True
0.8700000047683716,0.05559999868273735,0.98580002784729,-2.4286949634552,1.3801543712615967,stable node sink,True
0.8799999952316284,0.0568000003695488,0.98580002784729,-2.409249782562256,1.350151777267456,stable node sink,True
0.8799999952316284,0.5015000104904175,0.9876999855041504,-1.7313225269317627,-0.07017474621534348,unstable saddle node,False
0.8799999952316284,0.5570999979972839,0.9879000186920166,-1.845179557800293,0.07816504687070847,stable node sink,True
0.8799999952316284,0.5016000270843506,0.9876999855041504,-1.7315034866333008,-0.06994848698377609,unstable saddle node,False
0.8899999856948853,0.057999998331069946,0.98580002784729,-2.390261650085449,1.3208212852478027,stable node sink,True
0.8899999856948853,0.4864000082015991,0.9876000285148621,-1.704691767692566,-0.10121610760688782,unstable saddle node,False
0.8899999856948853,0.5694000124931335,0.9879000186920166,-1.8741527795791626,0.11927594989538193,stable node sink,True
0.8999999761581421,0.05909999832510948,0.98580002784729,-2.37328839302063,1.2945725917816162,stable node sink,True
0.8999999761581421,0.474700003862381,0.9876000285148621,-1.686057448387146,-0.12291720509529114,unstable saddle node,False
0.8999999761581421,0.5781999826431274,0.9879000186920166,-1.8959647417068481,0.15083061158657074,stable node sink,True
0.8999999761581421,0.5782999992370605,0.9879000186920166,-1.896205186843872,0.15117652714252472,stable node sink,True
0.9100000262260437,0.06040000170469284,0.98580002784729,-2.353607654571533,1.2641032934188843,stable node sink,True
0.9100000262260437,0.46459999680519104,0.987500011920929,-1.6698403358459473,-0.13998627662658691,unstable saddle node,False
0.9100000262260437,0.5853999853134155,0.9879999756813049,-1.915501594543457,0.17813478410243988,stable node sink,True
0.9200000166893005,0.06159999966621399,0.98580002784729,-2.335916757583618,1.236680030822754,stable node sink,True
0.9200000166893005,0.45559999346733093,0.987500011920929,-1.6569042205810547,-0.15403082966804504,unstable saddle node,False
0.9200000166893005,0.5916000008583069,0.9879999756813049,-1.9320029020309448,0.20263029634952545,stable node sink,True
0.9300000071525574,0.06289999932050705,0.98580002784729,-2.317171573638916,1.2075865268707275,stable node sink,True
0.9300000071525574,0.4472000002861023,0.987500011920929,-1.6453566551208496,-0.16615310311317444,unstable saddle node,False
0.9300000071525574,0.597100019454956,0.9879999756813049,-1.9470667839050293,0.2252083718776703,stable node sink,True
0.9399999976158142,0.06419999897480011,0.98580002784729,-2.2988908290863037,1.1791765689849854,stable node sink,True
0.9399999976158142,0.439300000667572,0.9873999953269958,-1.6339932680130005,-0.17660240828990936,unstable saddle node,False
0.9399999976158142,0.6019999980926514,0.9879999756813049,-1.9608526229858398,0.24604976177215576,stable node sink,True
0.949999988079071,0.06549999862909317,0.98580002784729,-2.281062126159668,1.1514315605163574,stable node sink,True
0.949999988079071,0.4318000078201294,0.9873999953269958,-1.6245359182357788,-0.18584084510803223,unstable saddle node,False
0.949999988079071,0.6065000295639038,0.9879999756813049,-1.9738132953643799,0.2657894492149353,stable node sink,True
0.9599999785423279,0.06689999997615814,0.98580002784729,-2.2623133659362793,1.1222145557403564,stable node sink,True
0.9599999785423279,0.4246000051498413,0.9873999953269958,-1.615830421447754,-0.19402316212654114,unstable saddle node,False
0.9599999785423279,0.6105999946594238,0.988099992275238,-1.9868930578231812,0.28447532653808594,stable node sink,True
0.9700000286102295,0.06830000132322311,0.98580002784729,-2.244056224822998,1.093721628189087,stable node sink,True
0.9700000286102295,0.41760000586509705,0.9872999787330627,-1.606748342514038,-0.20124602317810059,unstable saddle node,False
0.9700000286102295,0.41760000586509705,0.9873999953269958,-1.6077111959457397,-0.20134805142879486,unstable saddle node,False
0.9700000286102295,0.6144999861717224,0.988099992275238,-1.9986076354980469,0.3025555908679962,stable node sink,True
0.9800000190734863,0.06970000267028809,0.98580002784729,-2.2262771129608154,1.0659321546554565,stable node sink,True
0.9800000190734863,0.4108999967575073,0.9872999787330627,-1.599311351776123,-0.20764945447444916,unstable saddle node,False
0.9800000190734863,0.6180999875068665,0.988099992275238,-2.0096499919891357,0.3197002410888672,stable node sink,True
0.9900000095367432,0.07119999825954437,0.98580002784729,-2.207704782485962,1.036858081817627,stable node sink,True
0.9900000095367432,0.4043000042438507,0.9872999787330627,-1.5922870635986328,-0.21341262757778168,unstable saddle node,False
0.9900000095367432,0.6215000152587891,0.988099992275238,-2.020270824432373,0.33627691864967346,stable node sink,True
