Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.8899999856948853, A: 0.5694000124931335, B: 0.9879000186920166, trace: -1.8741527795791626, determinant: 0.11927594989538193, classification: stable node sink, stable: True
I: 0.8999999761581421, A: 0.05909999832510948, B: 0.98580002784729, trace: -2.37328839302063, determinant: 1.2945725917816162, classification: stable node sink, stable: True
I: 0.8999999761581421, A: 0.474700003862381, B: 0.9876000285148621, trace: -1.686057448387146, determinant: -0.12291720509529114, classification: unstable saddle node, stable: False
I: 0.8999999761581421, A: 0.5781999826431274, B: 0.9879000186920166, trace: -1.8959647417068481, determinant: 0.15083061158657074, classification: stable node sink, stable: True
I: 0.8999999761581421, A: 0.5782999992370605, B: 0.9879000186920166, trace: -1.896205186843872, determinant: 0.15117652714252472, classification: stable node sink, stable: True
I: 0.9100000262260437, A: 0.06040000170469284, B: 0.98580002784729, trace: -2.353607654571533, determinant: 1.2641032934188843, classification: stable node sink, stable: True
I: 0.9100000262260437, A: 0.46459999680519104, B: 0.987500011920929, trace: -1.6698403358459473, determinant: -0.13998627662658691, classification: unstable saddle node, stable: False
I: 0.9100000262260437, A: 0.5853999853134155, B: 0.9879999756813049, trace: -1.915501594543457, determinant: 0.17813478410243988, classification: stable node sink, stable: True
I: 0.9200000166893005, A: 0.06159999966621399, B: 0.98580002784729, trace: -2.335916757583618, determinant: 1.236680030822754, classification: stable node sink, stable: True
I: 0.9200000166893005, A: 0.45559999346733093, B: 0.987500011920929, trace: -1.6569042205810547, determinant: -0.15403082966804504, classification: unstable saddle node, stable: False
I: 0.9200000166893005, A: 0.5916000008583069, B: 0.9879999756813049, trace: -1.9320029020309448, determinant: 0.20263029634952545, classification: stable node sink, stable: True
I: 0.9300000071525574, A: 0.06289999932050705, B: 0.98580002784729, trace: -2.317171573638916, determinant: 1.2075865268707275, classification: stable node sink, stable: True
I: 0.9300000071525574, A: 0.4472000002861023, B: 0.987500011920929, trace: -1.6453566551208496, determinant: -0.16615310311317444, classification: unstable saddle node, stable: False
I: 0.9300000071525574, A: 0.597100019454956, B: 0.9879999756813049, trace: -1.9470667839050293, determinant: 0.2252083718776703, classification: stable node sink, stable: True
I: 0.9399999976158142, A: 0.06419999897480011, B: 0.98580002784729, trace: -2.2988908290863037, determinant: 1.1791765689849854, classification: stable node sink, stable: True
I: 0.9399999976158142, A: 0.439300000667572, B: 0.9873999953269958, trace: -1.6339932680130005, determinant: -0.17660240828990936, classification: unstable saddle node, stable: False
I: 0.9399999976158142, A: 0.6019999980926514, B: 0.9879999756813049, trace: -1.9608526229858398, determinant: 0.24604976177215576, classification: stable node sink, stable: True
I: 0.949999988079071, A: 0.06549999862909317, B: 0.98580002784729, trace: -2.281062126159668, determinant: 1.1514315605163574, classification: stable node sink, stable: True
